FrameId,Original,SURF,ORB,FAST
93,2.39652,1.09728,2.10362,1.25454
94,3.0215,1.01694,1.80266,2.31663
95,3.19594,1.56113,1.63886,3.12881
96,1.85165,0.881617,0.932037,4.21808
97,2.85761,1.03596,2.58398,1.38554
98,1.99471,0.655638,2.87815,1.174
99,3.45517,0.802711,1.19262,1.80585
100,2.35156,0.798779,1.08866,2.30971
101,1.83169,1.18951,1.21092,1.60736
102,1.16547,0.998632,1.18993,1.27516
103,2.34781,1.27868,1.13635,1.26678
104,1.52371,0.688364,0.972519,3.06349
105,1.97039,0.654354,0.92913,2.17254
106,1.89906,0.739993,1.69844,1.86783
107,3.20769,0.759984,0.918189,2.25438
108,3.14733,1.03305,1.45236,4.17213
109,3.75184,0.737727,1.03142,1.85091
110,3.3906,1.06846,1.13266,2.5544
111,2.26303,0.596315,0.77222,1.02918
112,3.69015,0.831458,0.877633,1.51432
113,3.21529,0.734509,0.901648,1.18559
114,3.40502,0.751035,1.02986,2.49177
115,1.61081,0.82725,1.26975,2.30904
116,1.96553,0.743728,1.31264,1.09458
117,0.795279,0.676,1.2279,1.58338
118,1.07599,0.76111,1.30402,1.66587
119,3.4969,1.0957,1.28428,2.19464
120,1.9292,0.704021,1.26376,1.63787
121,2.61158,0.805519,0.935526,2.17329
122,1.83212,0.71661,0.856931,0.753363
123,2.09803,0.769496,1.56827,1.57834
124,2.30573,0.803779,1.56615,1.16601
125,1.34202,0.541632,0.853841,1.41573
126,1.50124,1.00888,1.59942,1.41859
127,2.91911,1.02658,1.27853,1.1434
128,2.90481,0.905326,1.13484,1.13129
129,3.07787,1.05494,1.33884,1.56251
130,2.14515,0.989439,1.17782,1.4847
131,2.03103,0.960498,1.06089,1.33563
132,0.675871,0.560012,0.73868,0.726401
133,1.40284,1.24006,2.13425,1.29222
134,1.96982,1.05002,3.62499,2.17425
135,1.0127,1.36199,1.1831,3.60869
136,1.8065,1.39937,1.43663,1.7351
137,1.67795,1.19357,1.82519,1.75963
138,1.76785,1.12668,1.45033,1.20445
139,1.34616,0.674006,1.00784,1.15997
140,1.78631,1.17206,1.22144,1.66197
141,2.13084,1.24936,1.6148,1.7488
142,1.67178,1.16054,1.55261,2.71548
143,2.06545,1.06922,1.44137,2.24602
144,1.35394,1.01502,1.43203,2.91118
145,2.39194,1.07201,1.29504,2.20066
146,0.875677,0.649678,0.784416,0.842162
147,1.43114,1.07947,1.12428,1.62254
148,2.98998,1.03221,1.22704,1.32534
149,2.83417,1.23709,1.32563,1.48452
150,4.24585,1.24184,1.7728,1.84839
151,4.07177,1.01905,1.51459,1.3431
152,5.04454,1.01828,1.31879,1.0594
153,3.25672,0.652531,0.767504,0.909898
154,3.42337,0.78637,0.875547,1.13085
155,4.736,0.874113,1.00678,1.22673
156,5.80478,1.02166,1.35405,1.83829
157,5.26979,1.23713,1.61789,1.88229
158,5.9329,1.15015,1.60159,1.46516
159,4.7595,0.791446,1.07778,1.15011
160,5.2184,0.985485,1.36622,1.41387
161,5.87128,1.21171,1.29814,1.91431
162,7.72934,1.51955,1.10436,1.14802
163,5.34666,1.15334,1.32745,1.6312
164,3.70458,1.02334,1.0389,1.71859
165,3.74325,1.01726,1.32733,1.1405
166,2.38781,0.636367,0.822556,0.793309
167,5.02698,1.44356,1.37981,1.59452
168,4.07772,1.22075,1.53008,1.93867
169,2.90472,1.18874,2.24725,2.53448
170,4.53249,1.55536,2.70721,3.83495
171,6.77134,1.33563,2.09776,1.78034
172,5.854,1.32336,2.00414,2.4386
173,5.4092,0.900231,1.30246,1.75778
174,5.17462,1.65614,2.12971,2.96541
175,6.87548,1.8132,2.3154,3.89246
176,6.18046,2.03649,1.98314,7.80458
177,7.13879,1.70618,2.26667,1.79677
178,4.11094,1.75278,2.0949,2.28707
179,2.57663,1.71586,2.23956,1.95677
180,2.72358,1.03064,2.01533,1.44672
181,7.41943,1.9839,2.18046,2.82328
182,3.97376,2.13317,2.39855,2.25514
183,2.80947,1.9026,2.20269,2.15856
184,6.04226,1.99425,2.77493,2.39912
185,5.44208,2.66808,2.58349,2.61036
186,5.96483,2.23017,2.29915,2.60343
187,3.45344,1.1179,1.29924,1.41495
188,4.07693,2.11923,2.16996,2.46263
189,2.84084,1.94783,2.00847,2.44145
190,4.30284,1.97275,3.01971,4.70974
191,4.25827,2.11784,4.9031,14.4937
192,4.31705,2.24896,2.34555,2.41463
193,3.0428,2.42044,2.44141,2.38935
194,3.49536,1.24279,1.37617,1.40837
195,4.48072,2.50266,3.02574,3.16628
196,6.36871,2.43109,2.7452,2.30546
197,4.87273,2.59571,2.76793,2.81884
198,5.42398,2.73887,2.67906,2.30327
199,5.04778,2.29841,3.14462,3.12418
200,3.05395,1.29948,1.44148,1.67973
201,2.75662,2.14106,2.58331,2.19987
202,4.34474,2.09558,2.42083,2.56219
203,4.08139,2.09439,3.26427,3.12752
204,4.94446,1.94961,2.3742,2.48971
205,2.21052,1.92075,1.99801,2.15101
206,2.44823,1.79493,2.30255,2.21461
207,3.17623,1.95676,2.50358,2.58641
208,2.01012,1.31335,2.32907,1.55144
209,4.05401,2.57552,2.62717,2.91529
210,4.13434,2.17417,2.89578,2.27267
211,2.48092,2.45682,2.75661,3.66184
212,2.43958,2.23843,2.27608,2.70439
213,3.34807,2.29476,2.21314,2.29831
214,2.771,1.23551,1.5622,1.59939
215,3.83805,2.2485,2.4732,2.4475
216,4.58392,2.39247,2.73087,2.3597
217,6.35609,2.49285,2.58139,2.54844
218,5.04831,2.53575,2.66125,2.83643
219,5.2505,2.51476,2.6931,2.96684
220,3.2853,2.75022,3.48498,3.47625
221,3.12296,1.27449,1.53125,1.9724
222,3.72859,2.58037,2.6501,2.68833
223,3.77614,2.59267,2.81025,2.94849
224,5.16826,2.37691,3.35499,2.72909
225,4.76418,2.78975,2.76386,3.66971
226,5.84893,2.39328,2.58374,2.5698
227,5.3221,2.93136,3.0574,3.23458
228,3.34392,1.35375,1.50722,1.51417
229,3.8685,2.63631,2.99296,4.02312
230,5.80302,2.91634,3.94588,3.50746
231,4.82741,2.80121,2.96558,2.96705
232,4.02201,2.66014,2.66929,2.63132
233,3.26389,2.58256,2.79906,2.78207
234,5.33414,2.87497,2.81477,3.13405
235,2.71804,1.43106,1.49333,2.20205
236,5.77003,3.0049,3.061,3.09204
237,4.03661,3.02005,3.24315,4.2339
